,Country,Country Code,Cases,Deaths,Population 2019,"Cases per 100,000 People","Deaths per 100,000 People",2017 GDP in Billions,2018 GDP in Billions,2019 GDP in Billions,Capital,Latitude
19,Benin,BEN,2411,41,11801151.0,20.43,0.35,12.701656931,14.250985959,14.390709095,Cotonou,6.4
20,Bermuda,BMU,182,9,62508.0,291.16,14.4,0.0,0.0,0.0,Not Available,Not Available
21,Bhutan,BTN,304,0,763094.0,39.84,0.0,2.450364928,2.446674102,0.0,Thimphu,27.473
22,Bolivia,BOL,137706,8192,11513102.0,1196.08,71.15,37.508642113,40.287647902,40.895322865,La Paz,-16.498
23,Bosnia and Herzegovina,BIH,29075,908,3300998.0,880.79,27.51,18.080118128,20.183498491,20.047848435,Sarajevo,43.85
24,Botswana,BWA,3172,16,2303703.0,137.69,0.69,17.405538618,18.663264706,18.340510789,Gaborone,-24.6463
25,Brazil,BRA,5000694,148228,211049519.0,2369.44,70.23,2062.83,1885.48,1839.76,Brasília,-15.7833
26,British Virgin Islands,VGB,71,1,30033.0,236.41,3.33,0.0,0.0,0.0,Not Available,Not Available
27,Brunei Darussalam,BRN,146,3,433296.0,33.7,0.69,12.128104859,13.567351175,13.469422941,Bandar Seri Begawan,4.8833
28,Bulgaria,BGR,22743,873,7000039.0,324.9,12.47,58.950125036,66.200847918,67.927179737,Sofia,42.6833
29,Burkina Faso,BFA,2222,59,20321383.0,10.93,0.29,14.169905602,16.199434625,15.745810235,Ouagadougou,12.3703
30,Burundi,BDI,515,1,11530577.0,4.47,0.01,3.172292379,3.036931818,3.012334882,Bujumbura,-3.3761
31,Cambodia,KHM,281,0,16486542.0,1.7,0.0,22.177200512,24.571753583,27.089389787,Phnom Penh,11.55
32,Cameroon,CMR,20924,420,25876387.0,80.86,1.62,35.009262788,38.694095651,38.760467033,Yaoundé,3.8667
33,Canada,CAN,173123,9541,37411038.0,462.76,25.5,1649.88,1716.26,1736.43,Ottawa,45.4167
34,Cabo Verde,CPV,6624,71,549936.0,1204.5,12.91,1.769787215,1.966983316,1.981845741,Praia,14.9167
35,Cayman Islands,CYM,213,1,64948.0,327.95,1.54,5.141833913,5.485419417,0.0,Not Available,Not Available
36,Central African Republic,CAF,4852,62,4745179.0,102.25,1.31,2.072350151,2.220978978,2.220307369,Bangui,4.3666
37,Chad,TCD,1251,88,15946882.0,7.84,0.55,10.000395242,11.239167048,11.314951343,N’Djamena,12.1131
38,Chile,CHL,474440,13090,18952035.0,2503.37,69.07,277.045,298.258,282.318,Santiago,-33.45
39,China,CHN,90689,4739,1433783692.0,6.33,0.33,12310.4,13894.8,14342.9,Beijing,39.9289
40,Colombia,COL,877683,27180,50339443.0,1743.53,53.99,311.884,333.569,323.803,Bogotá,4.5964
41,Comoros,COM,491,7,850891.0,57.7,0.82,1.077439663,1.178530758,1.185728677,Moroni,-11.7042
42,"Congo, Rep.",COG,5118,90,5380504.0,95.12,1.67,9.035182062,11.662700148,10.820591131,Brazzaville,-4.2592
43,Costa Rica,CRI,83497,1024,5047561.0,1654.2,20.29,58.481858043,60.55390142,61.773944174,San José,9.935
44,Cote d'Ivoire,CIV,19935,120,25716554.0,77.52,0.47,51.588158718,57.724731365,58.792205642,Abidjan,5.32
45,Croatia,HRV,18447,309,4076246.0,452.55,7.58,55.319605061,60.991399904,60.415553039,Zagreb,45.8
46,Cuba,CUB,5898,123,11333484.0,52.04,1.09,96.851,100.023,0.0,Havana,23.132
47,Curacao,CUW,476,1,163423.0,291.27,0.61,3.116610112,3.127908045,0.0,Willemstad,12.2004
48,Cyprus,CYP,1897,24,875899.0,216.58,2.74,22.638608224,24.961995749,24.564647935,Nicosia,35.1667
49,Czech Republic,CZE,95360,829,10649800.0,895.42,7.78,215.914,244.987,246.489,Prague,50.0833
50,"Congo, Dem. Rep.",COD,10804,275,86790568.0,12.45,0.32,38.019265626,46.831342213,47.319624204,Kinshasa,-4.3297
51,Denmark,DNK,30710,663,5806081.0,528.93,11.42,329.417,355.675,348.078,Copenhagen,55.6786
52,Djibouti,DJI,5423,61,973557.0,557.03,6.27,2.751461056,3.01282041,3.318716359,Djibouti,11.595
53,Dominica,DMA,31,0,71808.0,43.17,0.0,0.519837037,0.5508925926,0.5960333333,Roseau,15.301
54,Dominican Republic,DOM,116148,2159,10738957.0,1081.56,20.1,79.997975622,85.555378043,88.941298258,Santo Domingo,18.4701
55,Ecuador,ECU,143531,11743,17373657.0,826.14,67.59,104.296,107.562,107.436,Quito,-0.215
56,"Egypt, Arab Rep.",EGY,104035,6010,100388076.0,103.63,5.99,235.369,250.895,303.175,Cairo,30.05
57,El Salvador,SLV,29842,877,6453550.0,462.41,13.59,24.9792,26.1174,27.02264,San Salvador,13.71
58,Equatorial Guinea,GNQ,5062,83,1355982.0,373.31,6.12,12.20091493,13.278488567,11.026774945,Malabo,3.75
59,Eritrea,ERI,398,0,3497117.0,11.38,0.0,0.0,0.0,0.0,Asmara,15.3333
60,Estonia,EST,3715,67,1324820.0,280.42,5.06,26.859101054,30.747159198,31.386949981,Tallinn,59.4339
61,Eswatini,SWZ,5617,113,1148133.0,489.23,9.84,4.446248676,4.71061847,4.405405802,Mbabane,-26.3167
62,Ethiopia,ETH,80895,1255,112078727.0,72.18,1.12,81.770791971,84.269348327,96.107662398,Addis Ababa,9.0333
63,Faroe Islands,FRO,476,0,48677.0,977.87,0.0,2.833300519,0.0,0.0,Not Available,Not Available
64,Fiji,FJI,32,2,889955.0,3.6,0.22,5.353404422,5.536759653,5.535548972,Suva,-18.133
65,Finland,FIN,11049,346,5517919.0,200.24,6.27,255.123,275.894,268.761,Helsinki,60.1756
66,France,FRA,653509,32445,67012883.0,975.2,48.42,2595.15,2787.86,2715.52,Paris,48.8667
67,French Polynesia,PYF,2290,9,279285.0,819.95,3.22,0.0,0.0,0.0,Not Available,Not Available
68,Gabon,GAB,8815,54,2172578.0,405.74,2.49,14.929488771,16.862282414,16.657960228,Libreville,0.3854
69,"Gambia, The",GMB,3613,117,2347696.0,153.9,4.98,1.498044491,1.624600882,1.763819048,Banjul,13.4539
70,Georgia,GEO,9753,63,3996762.0,244.02,1.58,16.242916916,17.599700091,17.74319577,Tbilisi,41.725
71,Germany,DEU,310144,9578,83019213.0,373.58,11.54,3665.8,3949.55,3845.63,Berlin,52.5218
72,Ghana,GHA,46829,303,30417858.0,153.95,1.0,58.99813233,65.556464048,66.983634224,Accra,5.55
73,Gibraltar,GIB,445,0,33706.0,1320.24,0.0,0.0,0.0,0.0,Not Available,Not Available
74,Greece,GRC,20947,424,10724599.0,195.32,3.95,203.588,218.138,209.853,Athens,37.9833
75,Greenland,GRL,14,0,56660.0,24.71,0.0,2.826651926,3.05162639,0.0,Not Available,Not Available
76,Grenada,GRD,24,0,112002.0,21.43,0.0,1.125685185,1.168696296,1.22817037,Saint George’s,12.0526
77,Guam,GUM,2818,58,167295.0,1684.45,34.67,5.851,5.92,0.0,Hagåtña,13.4745
78,Guatemala,GTM,95704,3335,17581476.0,544.35,18.97,71.612352781,73.118147808,76.71038588,Guatemala City,14.6211
79,Guinea,GIN,10863,68,12771246.0,85.06,0.53,10.336634799,12.207116729,13.590281809,Conakry,9.5315
80,Guinea-Bissau,GNB,2362,39,1920917.0,122.96,2.03,1.346841897,1.458156026,1.340389411,Bissau,11.865
81,Guyana,GUY,3292,95,782775.0,420.56,12.14,3.555205811,3.878662621,4.280443645,Georgetown,6.802
